Tahun Masuk,IPK,SKS,Status Kelulusan
2012,3,106,1
2012,3,107,0
2012,3,108,1
2012,4,104,1
2012,3,108,1
2012,3,109,0
2012,3,104,1
2012,3,108,1
2012,3,104,1
2012,3,108,1
2012,3,108,1
2012,3,110,1
2012,3,104,1
2012,3,110,1
2012,3,108,1
2012,3,104,1
2012,3,104,0
2012,3,104,1
2012,4,108,1
2012,4,116,1
2012,3,104,0
2012,3,104,0
2012,3,104,1
2012,3,104,1
2012,3,106,1
2012,3,104,1
2012,3,110,1
2012,3,104,1
2012,3,104,1
2012,3,104,1
2012,3,110,1
2012,4,114,1
2012,3,104,1
2012,3,104,1
2012,3,104,1
2012,4,104,1
2012,3,104,1
2012,3,104,1
2012,3,104,1
2012,3,84,0
2012,3,104,1
2012,3,86,0
2012,3,104,1
2012,3,106,1
2012,3,104,1
2012,3,104,1
2012,3,104,1
2012,3,106,1
2012,3,108,0
2012,4,116,1
2012,3,110,1
2012,3,110,1
2012,3,89,0
2012,3,104,1
2012,3,110,1
2012,3,90,0
2012,3,110,1
2013,3,104,0
2013,3,104,1
2013,3,122,1
2013,3,106,1
2013,3,110,1
2013,3,104,1
2013,3,106,1
2013,3,104,1
2013,3,104,1
2013,3,108,1
2013,3,106,1
2013,3,104,1
2013,3,110,1
2013,3,104,1
2013,3,106,1
2013,3,108,1
2013,3,108,1
2013,3,108,1
2013,3,104,1
2013,3,104,1
2013,3,104,1
2013,3,108,1
2013,3,119,1
2013,3,108,1
2013,3,108,1
2013,3,104,1
2013,4,106,0
2013,3,108,1
2013,3,108,1
2013,3,91,1
2013,3,104,0
2013,3,104,1
2013,3,104,1
2013,3,104,1
2013,3,110,1
2013,3,110,1
2013,3,118,1
2013,4,104,1
2013,3,104,1
2013,3,104,0
2013,3,104,1
2013,4,104,1
2013,4,104,1
2013,4,114,1
2013,3,104,1
2013,3,104,1
2013,3,110,1
2013,3,108,1
2013,3,108,1
2013,3,104,1
2013,3,108,1
2013,3,110,1
2013,3,108,1
2013,3,104,1
2013,3,152,1
2013,3,103,1
2013,3,104,1
2013,3,108,1
2013,3,106,1
2013,3,104,1
2013,3,104,1
2013,3,110,0
2013,3,120,0
2013,3,108,1
2013,3,108,1
2013,3,110,1
2013,3,104,1
2013,3,106,1
2013,3,110,1
2013,3,104,1
2013,3,104,1
2013,3,104,1
2013,3,112,1
2013,3,110,1
2013,3,104,1
2013,3,104,1
2013,3,110,1
2013,3,108,1
2013,3,108,1
2013,3,106,1
2013,3,108,1
2013,3,106,1
2013,3,110,1
2013,3,108,1
2013,4,108,1
2013,3,110,1
2013,3,97,1
2013,3,110,1
2013,3,110,1
2013,3,104,1
2013,3,104,1
2013,3,120,1
2014,3,106,1
2014,3,115,0
2014,3,117,0
2014,3,104,1
2014,4,111,1
2014,3,108,1
2014,3,115,0
2014,3,124,0
2014,3,109,1
2014,3,115,0
2014,3,108,1
2014,3,111,1
2014,3,77,1
2014,3,122,0
2014,3,111,1
2014,4,122,0
2014,3,111,0
2014,3,115,0
2014,3,123,0
2014,3,120,0
2014,3,115,0
2014,3,111,1
2014,3,115,0
2014,4,120,0
2014,3,110,0
2014,3,115,0
2014,3,94,0
2014,3,114,0
2014,3,115,0
2014,3,115,0
2014,3,115,0
2014,4,120,0
2014,3,115,0
2014,4,123,0
2014,4,129,0
2014,3,78,1
2014,3,107,0
2014,3,105,0
2014,3,115,0
2014,3,112,1
2014,3,112,1
2014,3,113,0
2014,3,115,0
2014,3,115,0
2014,3,111,1
2014,3,82,1
2014,3,120,0
2014,3,129,0
2014,3,115,0
2014,3,106,1
2014,3,104,1
2014,3,115,0
2014,3,115,0
2014,3,104,1
2014,3,115,0
2014,3,115,1
2014,3,113,1
2014,4,115,1
2014,3,114,0
2014,3,118,0
2014,3,121,0
2014,4,122,0
2014,3,117,0
2014,3,104,1
2014,4,62,1
2014,3,98,1
2014,3,112,1
2014,3,115,0
2014,3,104,1
2014,3,121,0
2014,4,122,0
2014,3,114,0
2014,3,122,0
2015,3,119,1
2015,3,116,1
2015,3,116,1
2015,3,116,1
2015,4,122,1
2015,3,116,1
2015,3,116,1
2015,3,119,1
2015,4,116,1
2015,3,116,1
2015,3,116,1
2015,3,118,1
2015,4,122,1
2015,3,116,1
2015,4,118,1
2015,3,119,1
2015,3,116,1
2015,3,118,1
2015,3,118,1
2015,4,121,1
2015,4,121,1
2015,3,116,1
2015,4,116,1
2015,3,118,1
2015,4,122,1
2015,4,123,1
2015,3,91,1
2015,3,122,1
2015,3,121,1
2015,3,118,1
2015,4,125,1
2015,3,116,1
2015,3,120,1
2015,3,118,1
2015,3,116,1
2015,3,122,1
2015,3,116,1
2015,4,116,1
2015,4,122,1
2015,3,126,1
2015,4,118,1
2015,4,125,1
2015,3,115,1
2015,3,116,1
2015,3,118,1
2015,4,116,1
2015,3,116,1
2015,3,116,1
2015,3,119,1
2015,4,122,1
2015,4,118,1
2015,4,116,1
2015,3,119,1
2015,3,117,1
2015,3,117,1
2015,2,113,1
2015,4,121,1
2015,3,117,1
2015,4,116,1
2015,4,116,1
2015,4,121,1
2015,3,113,0
2015,3,119,1
2015,3,116,1
2015,3,116,1
2015,3,116,1
2015,3,117,1
2015,3,116,1
2015,3,118,1
2015,4,119,1
2015,3,119,0
2015,3,118,1
2015,3,116,1
