NIM,JK,Kategori Sekolah,Usia,Program Studi,Tahun Masuk,IPs 1,IPs 2,IPs 3,IPs 4,IPs 5,SKS 1,SKS  2,SKS  3,SKS  4,SKS 5,Status Kelulusan
1106084,L,,18,Teknik Informatika (S1),2011,3.19,3.09,3.14,3.05,2.15,21,20,21,21,20,Tidak Tepat Waktu
1106085,L,SMA,19,Teknik Informatika (S1),2011,2.81,2.83,2.62,2.57,2.95,21,20,19,21,0,Tidak Tepat Waktu
1106089,P,SMK,20,Teknik Informatika (S1),2011,3.15,2.71,2.37,2.65,3.2,21,20,17,21,20,Gagal
1106090,P,,18,Teknik Informatika (S1),2011,3.52,2.91,3.1,3.33,2.5,21,20,21,21,20,Tidak Tepat Waktu
1106092,P,SMA,18,Teknik Informatika (S1),2011,2.86,3.05,3.48,3.52,3.09,21,20,23,23,20,Tepat Waktu
1106093,P,,18,Teknik Informatika (S1),2011,3,3.04,2.9,2.81,3.05,21,20,21,21,20,Tepat Waktu
1106095,L,SPMA,21,Teknik Informatika (S1),2011,2.52,2.91,3.76,3.29,2.95,21,20,21,21,22,Tepat Waktu
1106097,L,,17,Teknik Informatika (S1),2011,2.52,2.87,2.86,2.81,2.85,21,20,21,21,20,Tidak Tepat Waktu
1106099,L,,18,Teknik Informatika (S1),2011,3.19,2.96,3.57,3.62,3.35,21,20,21,21,22,Tepat Waktu
1106100,P,,17,Teknik Informatika (S1),2011,2.67,2.65,3.24,2.95,2.9,21,20,21,21,22,Tepat Waktu
1106101,L,,18,Teknik Informatika (S1),2011,2.86,3.19,3.71,3.67,3.36,0,21,20,23,23,Tidak Tepat Waktu
1106103,L,,19,Teknik Informatika (S1),2011,2.52,2.7,2.9,2.52,2.85,21,20,21,21,18,Tidak Tepat Waktu
1106104,L,,18,Teknik Informatika (S1),2011,2.43,2.61,2.81,3,2.3,21,20,21,21,20,Tidak Tepat Waktu
1106105,L,,21,Teknik Informatika (S1),2011,3.33,2.91,3.1,3.38,2.5,21,20,21,21,20,Tepat Waktu
1106108,P,,20,Teknik Informatika (S1),2011,3.9,3.52,3.95,3.9,3.6,21,20,21,21,22,Tepat Waktu
1106112,P,,17,Teknik Informatika (S1),2011,2.33,2.61,3.1,3.43,2.95,21,20,21,21,20,Tepat Waktu
1106113,L,,,Teknik Informatika (S1),2011,3.14,3.26,3.52,3.71,2.55,21,20,21,21,20,Tidak Tepat Waktu
1106116,L,,19,Teknik Informatika (S1),2011,2.24,2.57,3,3.19,3.1,21,20,21,21,20,Tepat Waktu
1106117,L,,18,Teknik Informatika (S1),2011,2.62,3,3.1,2.71,3.2,21,20,19,21,20,Tidak Tepat Waktu
1106118,L,,19,Teknik Informatika (S1),2011,2.52,2.83,2.9,3.48,2.45,21,20,21,21,20,Tidak Tepat Waktu
1106119,L,,19,Teknik Informatika (S1),2011,3.05,2.52,3,3.57,2.45,21,20,21,21,20,Tidak Tepat Waktu
1106120,P,,,Teknik Informatika (S1),2011,2.62,3.09,3.48,3.33,3.55,21,20,21,23,22,Tepat Waktu
1106121,P,,,Teknik Informatika (S1),2011,3,3.24,3.62,3.48,3.73,21,20,23,23,20,Tepat Waktu
1106123,L,,18,Teknik Informatika (S1),2011,3.38,3.48,3.71,3.81,3.1,21,20,23,21,22,Tepat Waktu
1106124,L,,19,Teknik Informatika (S1),2011,3.19,3.17,3.05,2.57,3.05,21,20,21,21,22,Tepat Waktu
1106128,P,,18,Teknik Informatika (S1),2011,2.86,3.26,3.38,3.76,3.2,21,20,21,21,22,Tepat Waktu
1106129,L,,20,Teknik Informatika (S1),2011,2.9,2.83,3.24,3.24,2.45,21,20,21,21,20,Tepat Waktu
1206001,L,,23,Teknik Informatika (S1),2012,2.9,3.25,3.38,3.29,3.39,21,21,21,21,20,Tepat Waktu
1206003,L,,18,Teknik Informatika (S1),2012,3.1,3.3,3.58,2.57,2.83,21,21,21,21,20,Tidak Tepat Waktu
1206004,L,,18,Teknik Informatika (S1),2012,2.71,3.25,3.13,3.24,3.33,21,21,21,21,20,Tepat Waktu
1206007,L,,19,Teknik Informatika (S1),2012,3.29,3.6,3.46,3.43,3.44,21,21,21,21,20,Tepat Waktu
1206008,L,,18,Teknik Informatika (S1),2012,2.57,3,2.83,2.29,3.06,21,21,21,21,20,Tepat Waktu
1206009,L,,18,Teknik Informatika (S1),2012,3.33,3.35,3.46,3.14,3.35,21,21,23,23,22,Tepat Waktu
1206012,L,,18,Teknik Informatika (S1),2012,3.48,3.35,3.25,3.29,3.35,21,21,23,23,18,Tepat Waktu
1206013,L,,18,Teknik Informatika (S1),2012,3,3.4,3.25,3.43,3.06,21,21,21,21,20,Tepat Waktu
1206014,P,,18,Teknik Informatika (S1),2012,3.1,3.35,3.33,3.48,3.35,21,21,23,23,22,Tepat Waktu
1206016,P,,17,Teknik Informatika (S1),2012,3.29,3.25,3.42,3.14,3.25,21,21,21,23,20,Tepat Waktu
1206018,L,,18,Teknik Informatika (S1),2012,2.52,2.83,2.75,2.29,2.9,21,21,22,19,24,Tidak Tepat Waktu
1206019,L,,22,Teknik Informatika (S1),2012,3.19,3.15,3.38,3.43,3.44,21,21,23,21,22,Tepat Waktu
1206021,L,,20,Teknik Informatika (S1),2012,3.43,3.75,3.79,3.52,3.56,21,21,21,21,20,Tepat Waktu
1206023,L,,21,Teknik Informatika (S1),2012,3.19,3.05,3.25,3.24,3.33,21,21,23,21,22,Tepat Waktu
1206024,P,,18,Teknik Informatika (S1),2012,3.19,3.35,3.33,2.62,2.72,21,21,23,21,23,Tidak Tepat Waktu
1206026,L,,18,Teknik Informatika (S1),2012,3.33,3.65,3.42,3.29,3.44,21,21,21,21,20,Tepat Waktu
1206027,L,,18,Teknik Informatika (S1),2012,3.43,3.3,3.25,3.38,3.28,21,21,21,21,24,Tepat Waktu
1206029,L,,18,Teknik Informatika (S1),2012,2.95,3,3.08,3.29,3.17,21,21,21,21,20,Tepat Waktu
1206031,L,,17,Teknik Informatika (S1),2012,3.1,3.3,3.08,3.43,3.39,21,21,21,21,24,Tepat Waktu
1206035,L,,19,Teknik Informatika (S1),2012,3.43,3.45,3.5,3.52,3.3,21,21,23,23,20,Tepat Waktu
1206036,P,,18,Teknik Informatika (S1),2012,3.24,3.6,3.46,3.48,3.35,21,21,23,23,22,Tepat Waktu
1206037,L,,19,Teknik Informatika (S1),2012,3.43,3.15,3.33,3.52,3.28,21,21,21,21,20,Tepat Waktu
1206038,L,,18,Teknik Informatika (S1),2012,3.43,3.25,3.5,3.38,3.25,21,21,23,23,22,Tepat Waktu
1206040,L,,24,Teknik Informatika (S1),2012,3.48,3.5,3.38,3.52,3.15,21,21,21,23,22,Tepat Waktu
1206041,L,,19,Teknik Informatika (S1),2012,2.76,2.83,3.14,3.24,3.11,21,21,18,21,23,Tepat Waktu
1206042,L,,17,Teknik Informatika (S1),2012,2.71,3.15,3,3.14,3.28,21,21,21,21,20,Tidak Tepat Waktu
1206043,L,,18,Teknik Informatika (S1),2012,2.67,3.3,3,2.95,3.33,21,21,21,21,20,Tepat Waktu
1206047,P,,17,Teknik Informatika (S1),2012,3.52,3.9,3.25,3.57,3.56,21,21,25,21,20,Tepat Waktu
1206048,P,,22,Teknik Informatika (S1),2012,3.9,4,3.71,3.9,3.6,21,21,25,25,24,Tepat Waktu
1206051,P,,19,Teknik Informatika (S1),2012,2.38,3.2,2.79,2.9,3.28,21,21,21,21,20,Tidak Tepat Waktu
1206052,L,,18,Teknik Informatika (S1),2012,2.86,2.9,2.83,2.76,2.94,21,21,21,21,20,Tidak Tepat Waktu
1206054,L,,19,Teknik Informatika (S1),2012,3.33,3.25,3.21,3.33,3.28,21,21,21,21,20,Tepat Waktu
1206057,L,,19,Teknik Informatika (S1),2012,2.86,2.8,3.17,3.1,3.17,21,21,21,21,20,Tepat Waktu
1206058,P,,18,Teknik Informatika (S1),2012,3.14,3.4,2.96,3.43,3.2,21,21,21,23,20,Tepat Waktu
1206059,L,,19,Teknik Informatika (S1),2012,2.95,3.5,3.42,3.14,3.06,21,21,21,21,20,Tepat Waktu
1206061,P,,18,Teknik Informatika (S1),2012,3.38,3.3,3.25,3.24,3.2,21,21,23,23,22,Tepat Waktu
1206062,P,,19,Teknik Informatika (S1),2012,3.14,3.25,3.13,2.95,3.28,21,21,23,21,18,Tepat Waktu
1206063,L,,19,Teknik Informatika (S1),2012,2.95,3.15,3.21,3.33,3.17,21,21,21,21,20,Tepat Waktu
1206064,L,,18,Teknik Informatika (S1),2012,2.76,3.15,3.38,3.24,3.33,21,21,21,21,20,Tepat Waktu
1206066,L,,23,Teknik Informatika (S1),2012,3.33,3.6,3.21,3.14,3.35,21,21,21,23,24,Tepat Waktu
1206068,P,,18,Teknik Informatika (S1),2012,3.86,3.9,3.71,3.81,3.55,21,21,25,23,24,Tepat Waktu
1206069,P,,18,Teknik Informatika (S1),2012,3.33,3.65,3.42,3.38,3.5,21,21,21,21,20,Tepat Waktu
1206070,L,,17,Teknik Informatika (S1),2012,2.81,3.15,3.25,3.38,3.61,21,21,21,21,20,Tepat Waktu
1206071,L,,18,Teknik Informatika (S1),2012,3.19,3.45,3.25,3.19,3.56,21,21,21,21,20,Tepat Waktu
1206072,L,,20,Teknik Informatika (S1),2012,3.29,3.6,3.63,3.57,3.44,21,21,21,21,20,Tepat Waktu
1206075,L,,19,Teknik Informatika (S1),2012,3.29,3.4,3.21,3.52,3.56,21,21,21,21,20,Tepat Waktu
1206081,P,,18,Teknik Informatika (S1),2012,3.05,3.4,3.21,3.67,3.33,21,21,21,21,20,Tepat Waktu
1206082,L,,18,Teknik Informatika (S1),2012,3.38,3,3,3.14,3.28,21,21,21,21,20,Tepat Waktu
1206083,L,,18,Teknik Informatika (S1),2012,2.71,3.4,3.13,3.14,3.39,0,21,21,21,21,Tidak Tepat Waktu
1206086,L,,18,Teknik Informatika (S1),2012,3.33,3.45,3.42,3.52,3.61,21,21,23,21,18,Tepat Waktu
1206087,P,,18,Teknik Informatika (S1),2012,3.14,3.8,3.17,3.67,3.45,0,21,21,21,23,Tidak Tepat Waktu
1206088,P,,20,Teknik Informatika (S1),2012,3.14,3.5,3.25,3.43,3.61,21,21,21,21,20,Tepat Waktu
1206090,P,,18,Teknik Informatika (S1),2012,2.9,3.55,3.08,2.9,3.35,21,21,21,23,20,Tepat Waktu
1206091,L,,18,Teknik Informatika (S1),2012,3.19,3.5,3.21,3.1,3.22,21,21,21,21,20,Tepat Waktu
1206092,L,,18,Teknik Informatika (S1),2012,2.95,3.15,3.17,3.1,3.28,21,21,21,21,20,Tepat Waktu
1206099,L,,18,Teknik Informatika (S1),2012,2.71,3.25,2.96,2.76,3.33,21,21,21,21,20,Tepat Waktu
1206100,L,,19,Teknik Informatika (S1),2012,3.24,3.4,3.54,3.14,3.25,21,21,23,23,18,Tepat Waktu
1206105,L,,18,Teknik Informatika (S1),2012,3,3.1,3.29,3.05,3.56,21,21,21,21,24,Tidak Tepat Waktu
1206109,P,,20,Teknik Informatika (S1),2012,3.81,3.8,3.71,3.81,3.5,21,21,25,25,24,Tepat Waktu
1206112,P,,18,Teknik Informatika (S1),2012,3.05,3.35,3.38,2.9,3.35,21,21,21,23,24,Tepat Waktu
1206115,L,,19,Teknik Informatika (S1),2012,3,3.15,3.21,3.14,3.25,21,21,23,23,22,Tepat Waktu
1206116,L,,23,Teknik Informatika (S1),2012,2.95,2.48,2.32,2.52,3.5,21,17,20,12,19,Tidak Tepat Waktu
1206117,L,,18,Teknik Informatika (S1),2012,2.86,3.25,3.08,3,3.56,21,21,21,21,20,Tepat Waktu
1206118,P,,18,Teknik Informatika (S1),2012,3.33,3.25,3.58,3.33,3.35,21,21,23,23,22,Tepat Waktu
1206121,P,,18,Teknik Informatika (S1),2012,3.33,3.55,3.38,3,3.45,0,21,21,25,23,Tidak Tepat Waktu
1206123,L,,20,Teknik Informatika (S1),2012,3.19,3.3,3.42,3.38,3.35,21,21,23,23,22,Tepat Waktu
1306001,L,,28,Teknik Informatika (S1),2013,2.95,2.7,2.96,2.62,2.61,21,21,21,21,20,Tidak Tepat Waktu
1306003,L,,19,Teknik Informatika (S1),2013,3,3,2.88,2.71,3.11,21,21,21,21,20,Tepat Waktu
1306004,L,,,Teknik Informatika (S1),2013,3.82,3.91,3.14,2.27,3.05,40,49,4,7,22,Tepat Waktu
1306005,L,,18,Teknik Informatika (S1),2013,2.86,2.9,3.38,3.29,3.72,21,21,21,21,22,Tepat Waktu
1306010,P,,18,Teknik Informatika (S1),2013,3.81,3.35,3.29,3.29,3.72,21,21,23,23,22,Tepat Waktu
1306011,L,,19,Teknik Informatika (S1),2013,3,3.35,3.46,3.19,3.06,21,21,21,21,20,Tepat Waktu
1306012,L,,18,Teknik Informatika (S1),2013,3.14,2.7,3.13,3.14,3.17,21,21,21,21,22,Tepat Waktu
1306013,L,,18,Teknik Informatika (S1),2013,3,2.75,3.04,2.86,3.06,21,21,21,21,20,Tepat Waktu
1306014,L,,21,Teknik Informatika (S1),2013,2.9,2.95,3.04,3,3.06,21,21,21,21,20,Tepat Waktu
1306015,P,,18,Teknik Informatika (S1),2013,3.33,2.95,2.88,3,3.22,21,21,21,21,24,Tepat Waktu
1306016,L,,18,Teknik Informatika (S1),2013,2.9,2.7,3.17,3.19,3.11,21,21,21,21,22,Tepat Waktu
1306017,P,,17,Teknik Informatika (S1),2013,3.29,2.9,2.92,3,3.28,21,21,21,21,20,Tepat Waktu
1306018,P,,18,Teknik Informatika (S1),2013,3.57,3.2,3.5,3.1,3.39,21,21,21,23,24,Tepat Waktu
1306020,L,,18,Teknik Informatika (S1),2013,3.05,2.85,2.79,2.9,2.94,21,21,21,21,20,Tepat Waktu
1306022,L,,18,Teknik Informatika (S1),2013,2.9,2.9,3.38,3.33,3.5,21,21,21,21,22,Tepat Waktu
1306024,L,,18,Teknik Informatika (S1),2013,3.38,2.6,3.08,2.76,3.33,21,21,21,21,24,Tepat Waktu
1306027,L,,18,Teknik Informatika (S1),2013,3.19,3,2.92,3,3.06,21,21,23,23,20,Tepat Waktu
1306028,L,,18,Teknik Informatika (S1),2013,2.86,2.85,3.08,2.9,3.17,21,21,21,21,24,Tepat Waktu
1306029,L,,20,Teknik Informatika (S1),2013,2.81,3.2,3.04,3.1,2.56,21,21,21,21,20,Tepat Waktu
1306030,L,,19,Teknik Informatika (S1),2013,3.19,3.1,2.83,2.71,2.72,21,21,21,21,20,Tepat Waktu
1306031,L,SMK,20,Teknik Informatika (S1),2013,3.33,2.95,3.08,3,3.06,21,21,21,21,20,Tepat Waktu
1306035,P,,19,Teknik Informatika (S1),2013,2.9,2.7,2.88,2.86,3.11,21,21,21,21,24,Tepat Waktu
1306037,L,,,Teknik Informatika (S1),2013,2.9,3.04,2.68,1.82,3,33,47,8,9,22,Tepat Waktu
1306038,L,,18,Teknik Informatika (S1),2013,3.24,2.9,3.04,2.81,3.11,21,21,21,21,24,Tepat Waktu
1306041,P,,19,Teknik Informatika (S1),2013,3,2.9,3.13,2.86,3.33,21,21,21,21,24,Tepat Waktu
1306042,L,,20,Teknik Informatika (S1),2013,2.9,3.05,3.17,3.24,2.83,21,21,21,21,20,Tepat Waktu
1306043,L,,18,Teknik Informatika (S1),2013,3.86,3.3,3.58,3.38,3.67,21,21,21,23,20,Tidak Tepat Waktu
1306044,P,,20,Teknik Informatika (S1),2013,2.95,3.05,3.04,2.86,3.28,21,21,21,21,24,Tepat Waktu
1306045,P,,18,Teknik Informatika (S1),2013,2.86,3.05,3.21,3.38,3.44,21,21,21,21,24,Tepat Waktu
1306046,L,,40,Teknik Informatika (S1),2013,3.71,3.3,3.63,3.43,3.39,17,21,21,12,20,Tepat Waktu
1306048,L,,17,Teknik Informatika (S1),2013,3,3.05,2.88,2.95,3.06,21,21,21,21,20,Tidak Tepat Waktu
1306049,L,MA,18,Teknik Informatika (S1),2013,3,2.75,2.67,2.62,3.22,21,21,21,21,20,Tepat Waktu
1306050,L,,17,Teknik Informatika (S1),2013,3.05,2.95,3,2.9,3.28,21,21,21,21,20,Tepat Waktu
1306051,P,,17,Teknik Informatika (S1),2013,3.05,3,2.92,3.1,3,21,21,21,21,20,Tepat Waktu
1306052,L,,18,Teknik Informatika (S1),2013,3.14,3,3.33,3.29,3.67,21,21,23,23,22,Tepat Waktu
1306053,P,,20,Teknik Informatika (S1),2013,3.62,3.2,3.38,3.33,3.28,21,21,23,23,22,Tepat Waktu
1306056,P,,21,Teknik Informatika (S1),2013,3.64,3.43,3.45,3.33,3.17,38,32,6,20,22,Tepat Waktu
1306057,P,,23,Teknik Informatika (S1),2013,3.33,3.3,3.54,3.52,3.56,21,21,21,21,20,Tepat Waktu
1306058,L,,18,Teknik Informatika (S1),2013,2.76,2.8,2.71,2.86,3.11,21,21,21,21,20,Tepat Waktu
1306059,L,,18,Teknik Informatika (S1),2013,3.19,2.85,3.08,2.71,2.83,21,21,21,21,20,Tidak Tepat Waktu
1306063,L,,19,Teknik Informatika (S1),2013,2.86,2.7,2.92,2.71,3,21,21,21,21,20,Tepat Waktu
1306064,L,SMK,17,Teknik Informatika (S1),2013,3.86,3.25,3.75,3.57,3.5,21,21,21,21,20,Tepat Waktu
1306065,P,,19,Teknik Informatika (S1),2013,3.86,3.05,3.63,3.81,3.39,21,21,21,21,20,Tepat Waktu
1306066,P,,18,Teknik Informatika (S1),2013,3.9,3.5,3.79,3.76,3.33,21,21,25,23,24,Tepat Waktu
1306067,L,,19,Teknik Informatika (S1),2013,2.86,2.65,2.92,3,3,21,21,21,21,20,Tepat Waktu
1306068,L,,19,Teknik Informatika (S1),2013,3,3.05,3.04,3,3.11,21,21,21,21,20,Tepat Waktu
1306069,L,,18,Teknik Informatika (S1),2013,3.05,3.3,3.38,3.14,3.5,21,21,21,23,24,Tepat Waktu
1306070,L,,20,Teknik Informatika (S1),2013,3.48,2.95,3.63,3.24,3.5,21,21,21,21,24,Tepat Waktu
1306071,P,,19,Teknik Informatika (S1),2013,3.05,3.05,2.96,3,3,21,21,21,21,24,Tepat Waktu
1306072,L,,20,Teknik Informatika (S1),2013,3,2.95,3.13,3.05,3.11,21,21,21,21,20,Tepat Waktu
1306074,L,,19,Teknik Informatika (S1),2013,3.29,3,2.83,3.43,3,21,21,21,21,24,Tepat Waktu
1306075,P,,20,Teknik Informatika (S1),2013,3.19,3.45,3.71,3.14,3.61,21,21,21,23,24,Tepat Waktu
1306076,P,,19,Teknik Informatika (S1),2013,3.24,3.05,3.17,2.67,3.39,21,21,21,21,24,Tepat Waktu
1306079,L,,20,Teknik Informatika (S1),2013,2.81,2.8,2.54,2.76,2.67,21,21,21,21,20,Tepat Waktu
1306080,L,,23,Teknik Informatika (S1),2013,3,3.11,2.58,2.86,2.82,51,46,23,22,10,Tepat Waktu
1306082,L,,19,Teknik Informatika (S1),2013,2.67,2.6,3.29,2.76,3.28,21,21,21,20,20,Tepat Waktu
1306084,L,,19,Teknik Informatika (S1),2013,3.38,3.35,3.25,3.05,3.39,21,21,21,21,20,Tepat Waktu
1306089,L,SMK,18,Teknik Informatika (S1),2013,3.05,3.05,2.96,3.14,3.11,21,21,21,21,24,Tepat Waktu
1306090,L,,18,Teknik Informatika (S1),2013,3.38,3,3.29,2.95,2.89,21,21,21,21,22,Tepat Waktu
1306093,L,,18,Teknik Informatika (S1),2013,3.43,2.9,2.92,2.71,3.17,21,21,21,21,20,Tepat Waktu
1306094,L,,20,Teknik Informatika (S1),2013,2.62,2.95,2.96,2.71,3.17,21,21,21,21,20,Tepat Waktu
1306097,L,,19,Teknik Informatika (S1),2013,3.14,3.2,3.58,2.81,3.56,21,21,21,23,24,Tidak Tepat Waktu
1306098,P,,18,Teknik Informatika (S1),2013,3.2,3,3.16,2.95,3.45,24,22,22,21,31,Tidak Tepat Waktu
1306099,P,,18,Teknik Informatika (S1),2013,3,3.2,3.25,3,3.39,21,21,21,21,24,Tepat Waktu
1306100,L,,18,Teknik Informatika (S1),2013,3.05,3.15,3.29,3,3.61,21,21,21,21,24,Tepat Waktu
1306101,P,,18,Teknik Informatika (S1),2013,3.38,3.5,3.42,3.38,3.67,21,21,21,23,24,Tepat Waktu
1306103,P,,19,Teknik Informatika (S1),2013,3.43,3.05,3.25,2.71,3.11,21,21,21,21,20,Tepat Waktu
1306105,P,,18,Teknik Informatika (S1),2013,3,3,3,2.71,3.33,21,21,21,21,22,Tepat Waktu
1306106,P,,18,Teknik Informatika (S1),2013,3.24,3.3,3.29,3.19,3.61,21,21,21,23,24,Tepat Waktu
1306107,L,,18,Teknik Informatika (S1),2013,2.86,3.1,3.08,3.05,2.83,21,21,21,21,20,Tepat Waktu
1306108,L,,22,Teknik Informatika (S1),2013,3.29,2.9,2.63,2.52,3,21,21,21,21,20,Tepat Waktu
1306109,L,SMA,20,Teknik Informatika (S1),2013,3.71,3.45,3.5,3.43,3.22,21,21,21,21,20,Tepat Waktu
1306110,P,,21,Teknik Informatika (S1),2013,3.43,3.05,3.42,3.14,3.28,21,21,23,23,24,Tepat Waktu
1306112,L,,17,Teknik Informatika (S1),2013,3.19,3.1,3.54,3.05,3.61,21,21,21,23,24,Tepat Waktu
1306114,L,,18,Teknik Informatika (S1),2013,2.9,2.6,3.08,2.48,3.33,21,21,21,21,20,Tepat Waktu
1306115,L,,18,Teknik Informatika (S1),2013,3.1,3.1,2.88,2.76,3.06,21,21,21,21,20,Tepat Waktu
1306116,L,,18,Teknik Informatika (S1),2013,3.19,3.1,3.29,3.1,3.72,21,21,21,23,24,Tepat Waktu
1306118,P,,18,Teknik Informatika (S1),2013,3,2.8,3.04,3.05,2.83,21,21,21,21,24,Tepat Waktu
1306122,L,,18,Teknik Informatika (S1),2013,2.95,2.8,3.25,3,3.28,21,21,21,21,24,Tepat Waktu
1306124,L,,18,Teknik Informatika (S1),2013,2.76,3.05,3.25,3.05,3.61,21,21,21,21,22,Tepat Waktu
1306125,L,,19,Teknik Informatika (S1),2013,3.29,2.75,3.13,2.76,3.33,21,21,21,21,24,Tepat Waktu
1306126,L,,18,Teknik Informatika (S1),2013,3,3.05,3.08,2.86,3,21,21,21,21,22,Tepat Waktu
1306129,P,,18,Teknik Informatika (S1),2013,3.38,2.8,3.13,2.95,3.56,21,21,23,23,22,Tepat Waktu
1306130,P,,17,Teknik Informatika (S1),2013,3.29,2.78,3.14,2.48,3.28,21,21,23,21,22,Tepat Waktu
1306132,L,,18,Teknik Informatika (S1),2013,3.67,3.55,3.71,3.67,3.83,21,21,21,23,22,Tepat Waktu
1306134,P,,18,Teknik Informatika (S1),2013,3.19,2.95,3.08,2.86,3.5,21,21,21,23,24,Tepat Waktu
1306136,L,,19,Teknik Informatika (S1),2013,2.76,2.72,2.5,2.57,3,21,21,19,18,18,Tepat Waktu
1306137,L,,19,Teknik Informatika (S1),2013,3.52,3.55,3.13,3.38,3.44,21,21,23,23,22,Tepat Waktu
1306138,P,,18,Teknik Informatika (S1),2013,3.33,3,3.21,3.24,3.22,21,21,23,23,22,Tepat Waktu
1306140,L,,19,Teknik Informatika (S1),2013,3,2.7,2.92,3.1,3.11,21,21,21,21,20,Tepat Waktu
1306141,L,,19,Teknik Informatika (S1),2013,3.29,3.05,3.17,3.52,3.28,21,21,21,21,20,Tepat Waktu
1306142,P,,,Teknik Informatika (S1),2013,3.71,3.43,3.43,3.48,3.42,34,46,9,9,22,Tepat Waktu
1406003,L,,19,Teknik Informatika (S1),2014,2.71,3.05,3,3.33,3.15,21,21,21,21,22,Tepat Waktu
1406004,L,,18,Teknik Informatika (S1),2014,3.1,2.76,3.05,3,3.3,24,22,22,21,26,Tidak Tepat Waktu
1406006,P,,18,Teknik Informatika (S1),2014,3.15,2.94,3.05,3.4,3.15,24,22,22,23,26,Tidak Tepat Waktu
1406008,L,,20,Teknik Informatika (S1),2014,2.71,2.95,3.05,3.19,3.25,21,21,21,21,20,Tepat Waktu
1406012,P,,18,Teknik Informatika (S1),2014,3.52,4,3.67,3.67,3.85,21,21,23,24,22,Tepat Waktu
1406013,L,,22,Teknik Informatika (S1),2014,3,3.38,3.24,3.29,3.65,21,21,23,21,22,Tepat Waktu
1406016,L,,17,Teknik Informatika (S1),2014,2.8,2.82,3,3.15,2.95,24,22,22,21,26,Tidak Tepat Waktu
1406017,L,SMK,17,Teknik Informatika (S1),2014,3.25,3,3,3.1,3.3,24,22,25,24,29,Tidak Tepat Waktu
1406018,P,SMA,19,Teknik Informatika (S1),2014,3.1,3.09,2.86,3.05,3,21,21,23,24,20,Tepat Waktu
1406021,L,,19,Teknik Informatika (S1),2014,2.8,2.82,2.68,3,3.15,24,22,22,21,26,Tidak Tepat Waktu
1406022,L,,22,Teknik Informatika (S1),2014,3.05,3.22,3.19,3.19,3.5,21,21,23,21,22,Tepat Waktu
1406023,P,,18,Teknik Informatika (S1),2014,3.43,3.29,3.43,3.29,3.4,21,21,23,24,22,Tepat Waktu
1406024,L,,29,Teknik Informatika (S1),2014,3.05,3.09,3.33,3.14,3.17,21,23,10,17,6,Tepat Waktu
1406025,L,,19,Teknik Informatika (S1),2014,3.3,3.06,3.05,3.1,3.1,24,22,25,23,28,Tidak Tepat Waktu
1406028,L,,20,Teknik Informatika (S1),2014,3.1,3.26,3.14,3.29,3.5,21,21,23,24,22,Tepat Waktu
1406029,P,,18,Teknik Informatika (S1),2014,3.5,3,3.68,3.6,3.65,24,22,25,23,28,Tidak Tepat Waktu
1406030,L,,19,Teknik Informatika (S1),2014,2.75,2.65,3.16,3.4,3.15,24,22,18,21,26,Tidak Tepat Waktu
1406031,L,,17,Teknik Informatika (S1),2014,3,2.71,3.37,3.1,3.05,24,22,22,21,26,Tidak Tepat Waktu
1406032,P,,18,Teknik Informatika (S1),2014,3.45,3.24,3.37,3.55,3.52,24,22,25,24,28,Tidak Tepat Waktu
1406033,P,,19,Teknik Informatika (S1),2014,3.4,3,3.21,3.65,3.5,24,22,25,24,25,Tidak Tepat Waktu
1406035,L,,19,Teknik Informatika (S1),2014,3.1,2.65,3.11,3.3,2.9,24,22,22,21,26,Tidak Tepat Waktu
1406036,P,,19,Teknik Informatika (S1),2014,3.14,3.09,2.9,3.38,3.28,21,21,23,24,22,Tepat Waktu
1406039,L,,18,Teknik Informatika (S1),2014,2.95,2.76,2.79,3,3.15,24,22,22,21,26,Tidak Tepat Waktu
1406044,L,,19,Teknik Informatika (S1),2014,2.95,2.82,3.53,3.55,3.5,24,22,22,23,29,Tidak Tepat Waktu
1406046,L,,18,Teknik Informatika (S1),2014,2.8,2.53,2.79,3.25,3.45,24,22,18,21,25,Tidak Tepat Waktu
1406048,L,,18,Teknik Informatika (S1),2014,2.6,2.82,2.63,2.95,2.75,24,22,22,21,26,Tidak Tepat Waktu
1406054,L,SMK,18,Teknik Informatika (S1),2014,3.5,2.88,3,3.2,3.55,24,22,22,0,26,Tidak Tepat Waktu
1406055,L,,18,Teknik Informatika (S1),2014,2.6,2.59,2.47,2.95,2.9,24,22,22,20,26,Tidak Tepat Waktu
1406057,L,,20,Teknik Informatika (S1),2014,3.25,3.06,2.58,3.6,3.2,24,22,22,21,26,Tidak Tepat Waktu
1406058,L,,27,Teknik Informatika (S1),2014,2.9,3.18,2.58,2.95,3.1,24,22,22,21,26,Tidak Tepat Waktu
1406061,L,,18,Teknik Informatika (S1),2014,2.85,2.59,2.79,2.85,3,24,22,22,21,26,Tidak Tepat Waktu
1406062,P,,18,Teknik Informatika (S1),2014,3.85,3.35,3.68,3.8,3.3,24,22,25,24,25,Tidak Tepat Waktu
1406063,L,,17,Teknik Informatika (S1),2014,2.5,2.76,2.42,3.05,2.9,24,22,22,21,26,Tidak Tepat Waktu
1406065,P,,18,Teknik Informatika (S1),2014,3.45,3.65,3.58,3.65,3.75,24,22,25,24,28,Tidak Tepat Waktu
